METHOD,PATH,FILE,SCOPE,AUTH
POST,"/admin/empresas",admin.routes.ts,protected,true
POST,"/admin/usuarios",admin.routes.ts,protected,true
POST,"/admin/usuarios/:userId/empresas/:companyId",admin.routes.ts,protected,true
GET,"/annual-accounts/:id/download",registroMercantil.routes.ts,protected,true
POST,"/annual-accounts/:id/filing",registroMercantil.routes.ts,protected,true
POST,"/annual-accounts/:id/resolution",registroMercantil.routes.ts,protected,true
GET,"/auth/health",auth.routes.ts,public,false
POST,"/auth/logout",auth.routes.ts,public,false
POST,"/auth/refresh",auth.routes.ts,public,false
GET,"/books/:bookId/download",registroMercantil.routes.ts,protected,true
GET,"/companies/:companyId/accounting/chart-of-accounts/",chart-of-accounts.routes.ts,scoped,true
POST,"/companies/:companyId/accounting/chart-of-accounts/",chart-of-accounts.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/chart-of-accounts/:codigo",chart-of-accounts.routes.ts,scoped,true
PATCH,"/companies/:companyId/accounting/chart-of-accounts/:id",chart-of-accounts.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/chart-of-accounts/arbol",chart-of-accounts.routes.ts,scoped,true
POST,"/companies/:companyId/accounting/chart-of-accounts/init",chart-of-accounts.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/closures/",accounting-closure.routes.ts,scoped,true
POST,"/companies/:companyId/accounting/closures/",accounting-closure.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/closures/:ejercicio",accounting-closure.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/closures/:ejercicio/files",accounting-closure.routes.ts,scoped,true
PATCH,"/companies/:companyId/accounting/closures/:ejercicio/status",accounting-closure.routes.ts,scoped,true
POST,"/companies/:companyId/accounting/closures/:ejercicio/upload",accounting-closure.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/closures/comparativas/:ej1/:ej2",accounting-closure.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/closures/prior-years",accounting-closure.routes.ts,scoped,true
POST,"/companies/:companyId/accounting/closures/prior-years",accounting-closure.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/closures/prior-years/:ejercicio",accounting-closure.routes.ts,scoped,true
POST,"/companies/:companyId/accounting/contabilizar/:invoiceId",accounting-engine.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/journal-entries",accounting-engine.routes.ts,scoped,true
GET,"/companies/:companyId/accounting/journal-entries/:journalEntryId",accounting-engine.routes.ts,scoped,true
POST,"/companies/:companyId/accounting/journal-entries/:journalEntryId/approve",accounting-engine.routes.ts,scoped,true
PATCH,"/companies/:companyId/accounting/journal-entries/:journalEntryId/lines/:lineId",accounting-engine.routes.ts,scoped,true
POST,"/companies/:companyId/accounting/journal-entries/:journalEntryId/recalculate",accounting-engine.routes.ts,scoped,true
GET,"/companies/:companyId/bancos/cuentas",bancos.routes.ts,scoped,true
POST,"/companies/:companyId/bancos/cuentas",bancos.routes.ts,scoped,true
POST,"/companies/:companyId/bancos/cuentas/:cuentaId/importar-csv",bancos.routes.ts,scoped,true
GET,"/companies/:companyId/bancos/movimientos",bancos.routes.ts,scoped,true
POST,"/companies/:companyId/bancos/movimientos/:movId/conciliar-cuenta",bancos.routes.ts,scoped,true
POST,"/companies/:companyId/bancos/movimientos/:movId/conciliar-factura",bancos.routes.ts,scoped,true
POST,"/companies/:companyId/chat-assistant/",chatAssistant.routes.ts,scoped,true
GET,"/companies/:companyId/chat-assistant/:sessionId/messages",chatAssistant.routes.ts,scoped,true
GET,"/companies/:companyId/clientes/",clientes.routes.ts,scoped,true
POST,"/companies/:companyId/clientes/",clientes.routes.ts,scoped,true
DELETE,"/companies/:companyId/clientes/:id",clientes.routes.ts,scoped,true
GET,"/companies/:companyId/clientes/:id",clientes.routes.ts,scoped,true
PUT,"/companies/:companyId/clientes/:id",clientes.routes.ts,scoped,true
GET,"/companies/:companyId/clientes/buscar",clientes.routes.ts,scoped,true
GET,"/companies/:companyId/compliance/alertas",compliance.routes.ts,scoped,true
GET,"/companies/:companyId/compliance/alertas/historico",compliance.routes.ts,scoped,true
GET,"/companies/:companyId/compras/",compras.routes.ts,scoped,true
GET,"/companies/:companyId/compras/:id",compras.routes.ts,scoped,true
POST,"/companies/:companyId/conciliacion/proponer",conciliacion.routes.ts,scoped,true
GET,"/companies/:companyId/cuadre-bancos/",cuadreBancos.routes.ts,scoped,true
GET,"/companies/:companyId/cuadre-bancos/chequeo-cierre",cuadreBancos.routes.ts,scoped,true
GET,"/companies/:companyId/cuadre-bancos/config",cuadreBancos.routes.ts,scoped,true
PUT,"/companies/:companyId/cuadre-bancos/config",cuadreBancos.routes.ts,scoped,true
GET,"/companies/:companyId/extractos/cuentas/:cuentaId/extracto",extractos.routes.ts,scoped,true
GET,"/companies/:companyId/extractos/cuentas/:cuentaId/extracto.csv",extractos.routes.ts,scoped,true
GET,"/companies/:companyId/extractos/cuentas/:cuentaId/revision",extractos.routes.ts,scoped,true
